name,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,snowdepth,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex,sunrise,sunset,source
"38.25085,128.89098",2000-01-01,4.1,0.6,3,2.1,93.8,2.253,100,8.33,1,,11.7,11.7,5,0.7,1028,96.4,,,,2000-01-01T07:41:11,2000-01-01T17:14:03,obs
"38.25085,128.89098",2000-01-02,9.4,1.8,5.2,0.2,72.7,1.462,100,8.33,1,,28.5,28.5,14.6,1.4,1014,76.8,,,,2000-01-02T07:41:20,2000-01-02T17:14:51,obs
"38.25085,128.89098",2000-01-03,5.1,-1.4,1.9,-10,41.7,0,0,0,1,,33.5,33.5,17.6,4,1018,35.5,,,,2000-01-03T07:41:28,2000-01-03T17:15:40,obs
"38.25085,128.89098",2000-01-04,4.8,-4.9,0.7,-8.7,50.8,0,0,0,0.5,,14.8,14.8,6.6,2.1,1025,41.1,,,,2000-01-04T07:41:34,2000-01-04T17:16:30,obs
"38.25085,128.89098",2000-01-05,2.1,-2.1,0.7,-1.2,88.3,9.712,100,8.33,6.5,,10.5,10.5,5.5,2.1,1023.5,96.9,,,,2000-01-05T07:41:38,2000-01-05T17:17:21,obs
"38.25085,128.89098",2000-01-06,8.4,-2.9,3.5,-1.6,73.1,0.173,100,4.17,4,,48.2,48.2,18.6,2.8,1011.5,78.9,,,,2000-01-06T07:41:39,2000-01-06T17:18:14,obs
"38.25085,128.89098",2000-01-07,-2.9,-10.5,-6.1,-17.6,41.5,0.148,100,4.17,4,,47.4,47.4,35.3,18.9,1017.8,28.2,,,,2000-01-07T07:41:39,2000-01-07T17:19:08,obs
"38.25085,128.89098",2000-01-08,0.8,-9.9,-3.6,-11.9,53.5,0.024,100,8.33,4,,31.1,31.1,21.7,16.1,1019.1,35.3,,,,2000-01-08T07:41:36,2000-01-08T17:20:04,obs
"38.25085,128.89098",2000-01-09,3.8,-5.9,-0.2,-11.1,44.2,0,0,0,3.5,,23.4,23.4,8.6,2.9,1020.7,72.9,,,,2000-01-09T07:41:32,2000-01-09T17:21:00,obs
"38.25085,128.89098",2000-01-10,5.8,-1.9,1.7,-9.3,46.5,0.091,100,4.17,2.5,,24.1,24.1,11.6,1.8,1020.9,47.2,,,,2000-01-10T07:41:25,2000-01-10T17:21:57,obs
"38.25085,128.89098",2000-01-11,2.8,-4.2,0.5,-6,62.3,0.474,100,4.17,2,,12.3,12.3,8.1,4.7,1029.2,74,,,,2000-01-11T07:41:16,2000-01-11T17:22:56,obs
"38.25085,128.89098",2000-01-12,2.8,0.1,1.5,0.8,94.9,20.89,100,8.33,13.9,,12.6,12.6,7,2.9,1023.6,99.8,,,,2000-01-12T07:41:05,2000-01-12T17:23:55,obs
"38.25085,128.89098",2000-01-13,5.8,0.4,2.7,-1,78.9,3.986,100,8.33,10.7,,22.3,22.3,10.5,3.6,1013.9,79.1,,,,2000-01-13T07:40:52,2000-01-13T17:24:56,obs
"38.25085,128.89098",2000-01-14,5.1,-2.5,1.1,-4.4,66.8,0.744,100,8.33,12.5,,13.7,13.7,8.6,2.9,1019.9,70.2,,,,2000-01-14T07:40:37,2000-01-14T17:25:57,obs
"38.25085,128.89098",2000-01-15,3.8,-4.1,-0.3,-5.1,70.6,0,0,0,9.5,,14.4,14.4,7.8,3.6,1025,51.5,,,,2000-01-15T07:40:20,2000-01-15T17:26:59,obs
"38.25085,128.89098",2000-01-16,4.1,-6.9,0.7,-2.8,77.5,0,0,0,7.5,,19.4,19.4,11.1,5,1022.6,79.7,,,,2000-01-16T07:40:00,2000-01-16T17:28:02,obs
"38.25085,128.89098",2000-01-17,3.1,0.4,1,0.4,95.3,11.604,100,8.33,9.5,,13.1,13.1,6.2,2.5,1021.6,99.7,,,,2000-01-17T07:39:39,2000-01-17T17:29:05,obs
"38.25085,128.89098",2000-01-18,5.4,-1.3,1.5,-4.6,67.5,0.3,100,4.17,8.5,,14.4,14.4,8,3.6,1019.3,48,,,,2000-01-18T07:39:16,2000-01-18T17:30:09,obs
"38.25085,128.89098",2000-01-19,0.4,-7.1,-2.9,-11,54,0.229,100,4.17,13.5,,28.4,28.4,15.7,5.8,1016.2,33.8,,,,2000-01-19T07:38:50,2000-01-19T17:31:14,obs
"38.25085,128.89098",2000-01-20,-2.9,-16.9,-8,-18.8,43,0.195,100,4.17,13.5,,31.7,31.7,22.9,15.2,1023.4,25.7,,,,2000-01-20T07:38:23,2000-01-20T17:32:19,obs
"38.25085,128.89098",2000-01-21,0.1,-10.7,-4.8,-15.2,46.3,0,0,0,13,,18.4,18.4,9.8,1.4,1036.7,19.3,,,,2000-01-21T07:37:53,2000-01-21T17:33:25,obs
"38.25085,128.89098",2000-01-22,6.1,-6,-0.2,-12,43.9,0.104,100,4.17,13,,18.4,18.4,9.1,4.3,1030.6,85.2,,,,2000-01-22T07:37:22,2000-01-22T17:34:31,obs
"38.25085,128.89098",2000-01-23,6.7,-0.2,2.7,-2.4,69.1,0.312,100,8.33,8,,11.2,11.2,5.2,2.1,1022.9,73.3,,,,2000-01-23T07:36:49,2000-01-23T17:35:38,obs
"38.25085,128.89098",2000-01-24,2.8,-2.5,0.3,-4.6,72.1,3.484,100,4.17,12.5,,19.9,19.9,11.5,4.2,1025.9,71.2,,,,2000-01-24T07:36:14,2000-01-24T17:36:45,obs
"38.25085,128.89098",2000-01-25,-1.2,-10.7,-3.9,-6,85.8,18.842,100,8.33,23.6,,18,18,11,5.4,1028,73.7,,,,2000-01-25T07:35:37,2000-01-25T17:37:52,obs
"38.25085,128.89098",2000-01-26,-1.8,-10.6,-6.1,-12.6,62,4.191,100,8.33,22.4,,22,22,14.6,7.5,1027.7,42.6,,,,2000-01-26T07:34:58,2000-01-26T17:38:59,obs
"38.25085,128.89098",2000-01-27,0.7,-8.2,-4.9,-9.2,73.3,2.444,100,4.17,27.4,,18,18,10,2.1,1031,39.4,,,,2000-01-27T07:34:17,2000-01-27T17:40:07,obs
"38.25085,128.89098",2000-01-28,5.7,-6.1,1.4,-12.2,36.1,0,0,0,23.8,,20.5,20.5,9.1,1.4,1030.1,0,,,,2000-01-28T07:33:34,2000-01-28T17:41:15,obs
"38.25085,128.89098",2000-01-29,5.2,-2.5,1,-10.5,42.3,0,0,0,15.5,,26.3,26.3,13.9,6.7,1028.8,65.9,,,,2000-01-29T07:32:50,2000-01-29T17:42:23,obs
"38.25085,128.89098",2000-01-30,0.9,-5.9,-1,-9.8,52.1,0.424,100,8.33,15.9,,29.9,29.9,19.2,7.2,1028.4,42.2,,,,2000-01-30T07:32:04,2000-01-30T17:43:32,obs
"38.25085,128.89098",2000-01-31,-2.6,-10.1,-6.3,-15.2,50.2,0,0,0,16.8,,19.2,19.2,11.6,5.4,1034.7,16.1,,,,2000-01-31T07:31:16,2000-01-31T17:44:40,obs
"38.25085,128.89098",2000-02-01,2.1,-9.4,-2.6,-14.8,39.2,0,0,0,31.7,,29.9,29.9,14,1.8,1026.8,51.1,,,,2000-02-01T07:30:27,2000-02-01T17:45:48,obs
"38.25085,128.89098",2000-02-02,2.4,-4.5,-1.2,-14.9,35.6,0,0,0,10.5,,37.1,37.1,19.4,11.1,1026.4,24.4,,,,2000-02-02T07:29:35,2000-02-02T17:46:57,obs
"38.25085,128.89098",2000-02-03,3.4,-4.7,-0.8,-10,50.3,0.013,100,4.17,9,,29.5,29.5,18.8,11.8,1024.6,34.1,,,,2000-02-03T07:28:42,2000-02-03T17:48:05,obs
"38.25085,128.89098",2000-02-04,5.3,-7.6,0.1,-9.8,48.3,0.091,100,4.17,11.6,,13.8,13.8,9.7,6,1027.7,15.3,,,,2000-02-04T07:27:48,2000-02-04T17:49:13,obs
"38.25085,128.89098",2000-02-05,5.4,-3.4,1.4,-6.5,56.6,0,0,0,38.3,,10.4,10.4,6.1,0.7,1025.1,62.4,,,,2000-02-05T07:26:52,2000-02-05T17:50:22,obs
"38.25085,128.89098",2000-02-06,5.4,-1.9,1.6,-5.4,61.9,1.095,100,8.33,7.4,,21.3,21.3,13.5,3.6,1016.9,54,,,,2000-02-06T07:25:54,2000-02-06T17:51:30,obs
